timestamp,agent.name,syscheck.path,syscheck.event,rule.description,rule.level,rule.id
"Jul 7, 2025 @ 21:08:07.384,""Win11"",""c:\data_korban_simulasi\rencana_proyek.pdf.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 21:08:07.344,""Win11"",""c:\data_korban_simulasi\data_karyawan.docx.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 21:08:07.315,""Win11"",""c:\data_korban_simulasi\dokumen_keuangan.txt.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 21:07:43.763,""Win11"",""c:\data_korban_simulasi\rencana_proyek.pdf.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 21:07:43.745,""Win11"",""c:\data_korban_simulasi\dokumen_keuangan.txt.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 21:07:43.723,""Win11"",""c:\data_korban_simulasi\data_karyawan.docx.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 16:43:54.109,""Win11"",""c:\data_korban_simulasi\rencana_proyek.pdf.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 16:43:54.079,""Win11"",""c:\data_korban_simulasi\data_karyawan.docx.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 16:43:54.055,""Win11"",""c:\data_korban_simulasi\dokumen_keuangan.txt.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 16:43:37.383,""Win11"",""c:\data_korban_simulasi\data_karyawan.docx.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 16:43:37.374,""Win11"",""c:\data_korban_simulasi\rencana_proyek.pdf.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 16:43:37.359,""Win11"",""c:\data_korban_simulasi\dokumen_keuangan.txt.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 16:41:03.276,""Win11"",""c:\data_korban_simulasi\rencana_proyek.pdf.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 16:41:03.276,""Win11"",""c:\data_korban_simulasi\data_karyawan.docx.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 16:41:03.229,""Win11"",""c:\data_korban_simulasi\dokumen_keuangan.txt.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 16:40:55.549,""Win11"",""c:\data_korban_simulasi\data_karyawan.docx.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 16:40:55.546,""Win11"",""c:\data_korban_simulasi\rencana_proyek.pdf.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 16:40:55.539,""Win11"",""c:\data_korban_simulasi\dokumen_keuangan.txt.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 16:35:38.596,""Win11"",""c:\data_korban_simulasi\rencana_proyek.pdf.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 16:35:38.583,""Win11"",""c:\data_korban_simulasi\data_karyawan.docx.locked"",""added"",""File added to the system."",""5"",""554"""
